time,distance,angle1,pos1x,pos1y,angle2,pos2x,pos2y
1015.418,308.0071417,9.207533879,67.64285539,145.7814875,73.42949537,-238.7563355,178.7563355
1015.464,317.9759068,138.3760021,76.33222531,136.0026673,65.54641141,-238.6757471,178.6757471
1015.511,304.7068005,-82.73877583,63.25906473,137.6683859,60.16038912,-238.6350046,178.6350046
1015.558,312.3624036,42.92217164,72.14386174,147.2221496,73.20201449,-238.7536722,178.7536722
1015.605,314.8971492,176.4145932,72.9646462,134.122915,62.69513467,-238.6526967,178.6526967
1015.652,303.9804253,-47.80251356,63.22428666,142.9541551,62.28529062,-238.6496564,178.6496564
1015.685,316.2937709,77.17453549,75.93872522,145.8487477,75.00848025,-238.7753598,178.7753598
1015.731,310.3385882,-145.3936123,68.46224127,135.0135518,56.33010796,-238.6133472,178.6133472
1015.777,305.4204055,-14.23823317,65.23985861,147.7126448,70.09029756,-238.7192307,178.7192307
1015.823,318.0774612,112.2982399,77.31896111,142.7590773,68.98716367,-238.7079228,178.7079228
1015.869,419.9635579,51.07823213,228.9626923,-2.147343652,-61.96355786,-203.5332915,3.674298072
1015.916,442.3648126,-125.6133954,238.6047223,-10.48918289,-146.3283705,-211.5302295,-8.329476666
1015.963,442.2483783,-33.47326261,230.6065065,1.607063803,129.4232512,-200.3892079,-17.48838908
1016.009,440.0091443,-39.94526059,238.5912812,12.58115131,47.41410686,-189.786943,-7.743923325
1016.055,429.6525607,-30.91487003,238.6283045,24.83979385,-24.23845385,-195.6561687,5.292289099
1016.1,435.2462476,-45.80930528,238.5859275,34.84051951,-101.4847014,-209.7212648,2.434623726
1016.147,450.3204809,-45.66759149,238.5858824,44.96975389,166.1948176,-206.2604913,-11.64962267
1016.193,449.849097,-44.76752087,238.5857981,55.25320948,74.3457206,-192.2997874,-7.737463589
1016.235,437.4082182,-32.69799178,238.6182594,67.33307834,-5.062497639,-193.5681899,6.580545829
1016.282,437.9117451,-45.73756729,238.5859036,77.35862107,-84.97424272,-207.8920257,7.840207889
1016.33,453.4519024,-48.12009955,238.5878828,87.05080774,179.5738549,-207.7839242,-6.693909124
1016.376,458.1284183,-49.98938516,238.5911452,96.41256544,79.44543657,-193.449342,-4.023028942
1016.422,446.3794611,-35.57153641,238.6048912,108.1543435,-8.934024508,-195.6955266,10.26528829
1016.47,447.2446234,-51.62406106,238.5952271,117.1263868,-98.17864789,-210.0207781,8.206437084
1016.515,463.8545277,-52.02502171,238.5964032,126.1201662,155.9668244,-204.0590031,-5.163089693
1016.562,464.3701668,-51.68820313,238.5954107,135.1819199,49.59665761,-192.907817,4.328435313
1016.607,454.1886108,-41.21940376,238.588864,146.0955279,-46.59195324,-203.4721798,14.32146742
1016.655,463.3419732,-62.06399005,238.6480435,152.9414238,-151.9339264,-210.3570496,1.408855752
1016.699,476.6962091,-53.82174808,238.6025162,161.6417613,89.36986446,-195.5909806,1.571258639
1016.746,466.0199196,-50.93797197,238.5933744,170.8595078,-18.65005511,-200.2791244,15.46164194
1016.793,468.238057,123.3656715,238.614842,178.6148348,-128.8881121,-211.7074992,6.244020326
1016.84,467.3679427,-112.4498112,224.9162794,172.9547574,121.7439452,-199.2288873,-1.476155442
1016.875,458.121355,-168.162515,221.9241343,178.8161302,21.62259018,-193.8558398,12.07899666
1016.916,434.8439017,-101.8042901,207.7506812,178.8165786,-55.22131157,-205.6410942,20.26346244
1016.962,438.7841006,-162.9505524,203.5205686,178.750751,-136.0054122,-215.6347507,9.912771717
1017.008,439.3166057,-110.9315616,189.959876,178.7087396,142.6779821,-206.9082599,-1.533257582
1017.054,428.7233033,-146.9485766,182.1287074,178.6164271,71.95467885,-193.3237903,2.892486973
1017.102,401.7294463,-90.40849267,167.9836661,178.5155777,28.22523252,-186.6944674,15.24305868
1017.148,379.8259251,-122.0457221,156.1978292,178.6217792,6.399307376,-185.1565559,28.95534466
1017.194,359.0838389,-107.3221544,143.0931821,174.5345768,5.315468469,-183.8975087,42.48773869
